06:00:00#06:10:00,0.0457,1
06:10:00#06:20:00,0.0848,1
06:20:00#06:30:00,0.0217,1
06:30:00#06:40:00,0.0191,1
06:40:00#06:50:00,0.1172,1
06:50:00#07:00:00,0.1809,2
07:00:00#07:10:00,0.4333,2
07:10:00#07:20:00,0.457,2
07:20:00#07:30:00,0.46,2
07:30:00#07:40:00,0.2897,3
07:40:00#07:50:00,0.7014,2
07:50:00#08:00:00,0.5088,2
08:00:00#08:10:00,0.4618,2
08:10:00#08:20:00,0.5846,4
08:20:00#08:30:00,0.946,4
08:30:00#08:40:00,0.9257,3
08:40:00#08:50:00,0.6933,2
08:50:00#09:00:00,0.5397,2
09:00:00#09:10:00,0.3934,2
09:10:00#09:20:00,0.3614,2
09:20:00#09:30:00,0.5136,2
09:30:00#09:40:00,0.4105,2
09:40:00#09:50:00,0.3716,2
09:50:00#10:00:00,0.4588,2
10:00:00#10:10:00,0.469,3
10:10:00#10:20:00,0.6102,3
10:20:00#10:30:00,0.629,2
10:30:00#10:40:00,0.3516,2
10:40:00#10:50:00,0.4111,3
10:50:00#11:00:00,0.6176,3
11:00:00#11:10:00,0.6319,3
11:10:00#11:20:00,0.6914,2
11:20:00#11:30:00,0.3612,2
11:30:00#11:40:00,0.2192,2
11:40:00#11:50:00,0.2998,3
11:50:00#12:00:00,0.2221,3
12:00:00#12:10:00,0.3234,2
12:10:00#12:20:00,0.4568,3
12:20:00#12:30:00,0.4403,2
12:30:00#12:40:00,0.3889,2
12:40:00#12:50:00,0.2435,3
12:50:00#13:00:00,0.2782,2
13:00:00#13:10:00,0.246,2
13:10:00#13:20:00,0.2805,2
13:20:00#13:30:00,0.3208,2
13:30:00#13:40:00,0.2731,2
13:40:00#13:50:00,0.3614,2
13:50:00#14:00:00,0.4349,2
14:00:00#14:10:00,0.3256,2
14:10:00#14:20:00,0.4896,2
14:20:00#14:30:00,0.2255,1
14:30:00#14:40:00,0.0805,2
14:40:00#14:50:00,0.3034,2
14:50:00#15:00:00,0.4175,2
15:00:00#15:10:00,0.32,2
15:10:00#15:20:00,0.367,2
15:20:00#15:30:00,0.4729,2
15:30:00#15:40:00,0.3666,2
15:40:00#15:50:00,0.458,2
15:50:00#16:00:00,0.3037,2
